strain	accession	date	country	state
GQ475996	GQ475996	2009-01-16	USA	USA/Minnesota
GQ475930	GQ475930	2009-01-28	USA	USA/Ohio
GQ476071	GQ476071	2009-02-06	USA	USA/Florida
CY147587	CY147587	2009-02-06	MEX	MEX/MEX
CY080913	CY080913	2009-03-10	USA	USA/Boston
FJ966082	FJ966082	2009-04-01	USA	USA/California
CY080610	CY080610	2009-04-01	USA	USA/Boston
GQ162194	GQ162194	2009-04-02	MEX	MEX/MEX
GQ223112	GQ223112	2009-04-03	MEX	MEX/MEX
GQ149689	GQ149689	2009-04-03	MEX	MEX/MEX
GQ149692	GQ149692	2009-04-07	MEX	MEX/MEX
FJ981613	FJ981613	2009-04-09	USA	USA/California
GQ162185	GQ162185	2009-04-14	MEX	MEX/MEX
GQ149671	GQ149671	2009-04-14	MEX	MEX/MEX
GQ149674	GQ149674	2009-04-14	MEX	MEX/MEX
GQ303340	GQ303340	2009-04-14	MEX	MEX/MEX
GQ149623	GQ149623	2009-04-14	MEX	MEX/MEX
GQ149647	GQ149647	2009-04-14	MEX	MEX/MEX
GQ168861	GQ168861	2009-04-15	USA	USA/Texas
GQ476034	GQ476034	2009-04-16	USA	USA/Hawaii
KC781723	KC781723	2009-04-16	USA	USA/California
GQ232028	GQ232028	2009-04-24	USA	USA/Illinois
GQ338349	GQ338349	2009-04-24	USA	USA/Michigan
GQ200221	GQ200221	2009-04-24	USA	USA/Texas
FJ969509	FJ969509	2009-04-25	USA	USA/New-York
GQ117091	GQ117091	2009-04-25	USA	USA/Texas
CY041122	CY041122	2009-04-25	USA	USA/New-York
GQ457497	GQ457497	2009-04-25	USA	USA/New-York
CY074643	CY074643	2009-04-26	USA	USA/California
GQ232003	GQ232003	2009-04-27	USA	USA/Oregon
CY040838	CY040838	2009-04-27	USA	USA/New-York
GQ168636	GQ168636	2009-04-28	USA	USA/Delaware
CY041146	CY041146	2009-04-28	USA	USA/New-York
CY047326	CY047326	2009-04-28	USA	USA/New-York
CY074083	CY074083	2009-04-28	USA	USA/California
CY147787	CY147787	2009-04-28	MEX	MEX/MEX
GQ200255	GQ200255	2009-04-29	USA	USA/Oklahoma
CY041726	CY041726	2009-04-29	USA	USA/New-York
CY040854	CY040854	2009-04-29	USA	USA/New-York
GQ160565	GQ160565	2009-04-29	USA	USA/Maryland
CY050764	CY050764	2009-04-29	USA	USA/New-York
CY053087	CY053087	2009-05-01	USA	USA/Houston
CY046235	CY046235	2009-05-02	USA	USA/Wisconsin
GQ232007	GQ232007	2009-05-04	USA	USA/Vermont
GQ323464	GQ323464	2009-05-04	USA	USA/Kentucky
CY046499	CY046499	2009-05-04	USA	USA/Wisconsin
GQ476008	GQ476008	2009-05-05	USA	USA/Virginia
GQ457511	GQ457511	2009-05-05	USA	USA/Montana
GQ231990	GQ231990	2009-05-05	USA	USA/South-Dakota
GQ231993	GQ231993	2009-05-05	USA	USA/Ohio
EU716555	EU716555	2008-01-18	USA	USA/Alaska
FJ687001	FJ687001	2008-12-10	USA	USA/Alaska
FJ686949	FJ686949	2008-11-16	USA	USA/Arizona
CY025229	CY025229	2006-12-18	USA	USA/Kentucky
CY025221	CY025221	2006-12-28	USA	USA/Michigan
CY043904	CY043904	2006-05-22	USA	USA/Delaware
